,0
1392,/p/tx/austin/2010-alguno-rd-austin-tx-78757--2072292166
1393,/p/tx/austin/1706-briar-st-austin-tx-78704--2072092053
1394,/p/tx/austin/2005-antone-st-b-austin-tx-78723--2172742302
1395,/p/tx/austin/806-w-24th-st-122-austin-tx-78705--2110340051
1396,/p/tx/austin/905-e-54th-st-austin-tx-78751--2110353502
1397,/p/tx/austin/5503-avenue-g-austin-tx-78751--2072272800
1398,/p/tx/austin/2406-trailside-dr-b-austin-tx-78704--2172575858
1399,/p/tx/pflugerville/700-fortrose-ter-pflugerville-tx-78660--2439021469
1400,/p/tx/pflugerville/14428-lake-victor-dr-pflugerville-tx-78660--1124839224
1401,/p/tx/austin/2502-leon-st-318-austin-tx-78705--2287145143
1402,/p/tx/austin/4801-s-congress-ave-p4-austin-tx-78745--2110348894
1403,/p/tx/austin/800-embassy-dr-121-austin-tx-78702--2362627056
1404,/p/tx/austin/8400-garcreek-cir-austin-tx-78724--2072126391
1405,/p/tx/austin/4708-tanney-st-austin-tx-78721--2072110963
1406,/p/tx/austin/4307-s-1st-st-108-austin-tx-78745--2110348552
1407,/p/tx/austin/912-e-32nd-st-203-austin-tx-78705--2110340396
1408,/p/tx/austin/1200-e-11th-st-304-austin-tx-78702--2110329959
1409,/p/tx/austin/910-e-32nd-st-103-austin-tx-78705--2110340331
1410,/p/tx/austin/208-elkhart-st-austin-tx-78702--2370576016
1411,/p/tx/austin/2303-e-side-dr-119-austin-tx-78704--2122160346
1412,/p/tx/austin/904-west-ave-210-austin-tx-78701--2124728643
1413,/p/tx/austin/5601-woodrow-ave-102-austin-tx-78756--2181394872
1414,/p/tx/austin/3004-speedway-2-austin-tx-78705--2395995572
1415,/p/tx/austin/1403-drake-ave-c-austin-tx-78704--2229456798
1416,/p/tx/austin/12166-ne-metric-blvd-ne-158-austin-tx-78758--2493645672
1417,/p/tx/austin/407-e-45th-st-112-austin-tx-78751--2110352622
1418,/p/tx/austin/4303-duval-st-101-austin-tx-78751--2197770043
1419,/p/tx/austin/1807-w-saint-johns-ave-b-austin-tx-78757--2185966413
1420,/p/tx/austin/4307-avenue-a-108-austin-tx-78751--2171776638
1421,/p/tx/austin/4307-avenue-a-304-austin-tx-78751--2185854676
1422,/p/tx/austin/3102-glen-ora-st-4-austin-tx-78704--2282948108
1423,/p/tx/austin/1200-mariposa-dr-3-austin-tx-78704--2284137484
1424,/p/tx/austin/312-e-43rd-st-202-austin-tx-78751--2172315225
1425,/p/tx/austin/900-s-lamar-blvd-305-austin-tx-78704--2110338282
1426,/p/tx/austin/707-e-32nd-st-austin-tx-78705--1029622040
1427,/p/tx/austin/704-w-21st-st-304-austin-tx-78705--2110339728
1428,/p/tx/austin/99-waller-st-a-austin-tx-78702--2470680324
1429,/p/tx/del-valle/12833-buenos-aires-pkwy-del-valle-tx-78617--2071817693
1430,/p/tx/austin/12918-humphrey-dr-austin-tx-78729--1043445781
1431,/p/tx/austin/2409-leon-st-104-austin-tx-78705--2072099453
1432,/p/tx/austin/2004-warely-ln-226c-austin-tx-78741--2405811751
1433,/p/tx/austin/4501-westlake-dr-23-austin-tx-78746--2072233996
1434,/p/tx/austin/7329-sentry-path-austin-tx-78744--2372924316
1435,/p/tx/lakeway/219-stowaway-cv-b-lakeway-tx-78734--2229411207
1436,/p/tx/austin/210-w-38th-st-cm-austin-tx-78705--2488984408
1437,/p/tx/austin/5101-evans-ave-103-austin-tx-78751--2345048766
1438,/p/tx/austin/613-baylor-st-d-austin-tx-78703--2427066416
1439,/p/tx/austin/4708-depew-ave-1-austin-tx-78751--2174077266
1440,/p/tx/austin/304-canion-st-a-austin-tx-78752--2406135548
1441,/p/tx/austin/3009-sesbania-dr-austin-tx-78748--1010397608
1442,/p/tx/austin/2020-s-congress-ave-1216-austin-tx-78704--2110335800
1443,/p/tx/austin/4411-s-2nd-st-austin-tx-78745--2110348627
1444,/p/tx/del-valle/11715-corum-ridge-cv-del-valle-tx-78617--2071816692
1445,/p/tx/austin/9313-meyrick-park-trl-austin-tx-78717--1123814355
1446,/p/tx/austin/506-w-37th-st-309-austin-tx-78705--2358586166
1447,/p/tx/del-valle/12700-sky-harbor-dr-del-valle-tx-78617--2071817547
1448,/p/tx/austin/14501-menifee-st-austin-tx-78725--2072127190
1449,/p/tx/austin/address-not-disclosed-austin-tx-78722--2183397480
1450,/p/tx/austin/2201-rabb-glen-st-austin-tx-78704--1010454855
1451,/p/tx/austin/706-w-north-loop-blvd-a-austin-tx-78751--2175448686
1452,/p/tx/austin/9205-sedgemoor-trl-a-austin-tx-78748--2174716698
1453,/p/tx/austin/2605-w-49th-st-austin-tx-78731--1002097059
1454,/p/tx/austin/2215-post-rd-2006-austin-tx-78704--2072094418
1455,/p/tx/austin/2216-san-gabriel-st-205-austin-tx-78705--2072099229
1456,/p/tx/austin/2216-san-gabriel-st-202-austin-tx-78705--2072099226
1457,/p/tx/austin/2414-longview-st-205-austin-tx-78705--2072099502
1458,/p/tx/austin/706-w-24th-st-305-austin-tx-78705--2110339779
1459,/p/tx/austin/915-w-23rd-st-207-austin-tx-78705--2110340497
1460,/p/tx/austin/8888-tallwood-dr-2210-austin-tx-78759--2072314878
1461,/p/tx/austin/806-w-24th-st-303-austin-tx-78705--2110340096
1462,/p/tx/austin/711-w-21st-st-205-austin-tx-78705--2110339832
1463,/p/tx/austin/2216-san-gabriel-st-101-austin-tx-78705--2072099217
1464,/p/tx/austin/8403-colony-loop-dr-b-austin-tx-78724--2286825954
1465,/p/tx/austin/9217-kempler-dr-a-austin-tx-78748--2182522119
1466,/p/tx/austin/2300-leon-st-202-austin-tx-78705--2072099268
1467,/p/tx/austin/901-taulbee-ln-d-austin-tx-78757--2173265581
1468,/p/tx/austin/904-w-21st-st-112-austin-tx-78705--2110340279
1469,/p/tx/austin/13301-marrero-dr-austin-tx-78729--1013452505
1470,/p/tx/austin/7685-northcross-dr-605-austin-tx-78757--2172315517
1471,/p/tx/austin/1713-e-13th-st-austin-tx-78702--2110330635
1472,/p/tx/austin/7920-rockwood-ln-252-austin-tx-78757--2072295707
1473,/p/tx/pflugerville/917-fortrose-ter-pflugerville-tx-78660--2503839288
1474,/p/tx/lakeway/607-ladin-ln-lakeway-tx-78734--2072172258
1475,/c/tx/austin/1117-hollow-creek-drive-1117-hollow-creek-dr-austin-tx-78704--1050320504
1476,/p/tx/austin/9709-mcknight-loop-32-austin-tx-78717--2438928113
1477,/p/tx/austin/2006-rabb-rd-2-austin-tx-78704--2472747157
1478,/p/tx/austin/910-w-25th-st-503-austin-tx-78705--2110340369
1479,/p/tx/austin/910-w-25th-st-403-austin-tx-78705--2110340359
1480,/p/tx/austin/5606-coventry-ln-austin-tx-78723--2072119028
1481,/p/tx/austin/2011-e-stassney-ln-b-austin-tx-78744--2174578012
1482,/p/tx/austin/2001-faro-dr-53-austin-tx-78741--2072199947
1483,/p/tx/austin/2358-wilson-st-austin-tx-78704--1012560666
1484,/p/tx/austin/13902-eucalyptus-bnd-austin-tx-78717--2344847161
1485,/p/tx/austin/211-e-lisa-dr-austin-tx-78752--1002188399
1486,/p/tx/austin/1814-ulit-ave-a-austin-tx-78702--2072080447
1487,/p/tx/austin/3500-oak-springs-dr-austin-tx-78721--2072110548
1488,/p/tx/austin/3003-clawson-rd-b-austin-tx-78704--2497153369
1489,/p/tx/austin/1009-w-slaughter-ln-austin-tx-78748--1139888749
1490,/p/tx/austin/9308-villa-norte-dr-vh46-austin-tx-78726--2324978164
1491,/p/tx/austin/8011-doe-meadow-dr-austin-tx-78749--1044625118
1492,/p/tx/austin/99-waller-st-b-austin-tx-78702--2237492174
1493,/c/tx/austin/1-bed-400-sqft-795-506-w-grady-dr-austin-tx-78753--2329754141
1494,/p/tx/austin/3304-wickham-ln-austin-tx-78725--1122357806
1495,/p/tx/austin/804-w-28th-1-2-st-austin-tx-78705--1001505913
1496,/p/tx/austin/11013-maelin-dr-austin-tx-78739--2072192841
1497,/p/tx/austin/603-davis-st-606-austin-tx-78701--2072077284
1498,/p/tx/pflugerville/908-solitude-dr-pflugerville-tx-78660--2372504994
1499,/p/tx/austin/1115-terry-dr-austin-tx-78721--2072109031
1500,/p/tx/austin/1322-e-12th-st-401-austin-tx-78702--2365857265
1501,/p/tx/austin/4405-avenue-a-25-austin-tx-78751--2072271494
1502,/p/tx/austin/3410-speedway-a-austin-tx-78705--2172916436
1503,/p/tx/austin/7017-ranchito-dr-austin-tx-78744--2373672672
1504,/p/tx/austin/806-w-24th-st-335-austin-tx-78705--2110340026
1505,/p/tx/austin/7227-e-us-highway-290-austin-tx-78723--2495705438
1506,/p/tx/austin/7524-cayenne-ln-austin-tx-78741--1015111721
1507,/p/tx/austin/12207-double-tree-ln-austin-tx-78750--2072266988
1508,/p/tx/austin/3200-duval-st-105-austin-tx-78705--2072100881
1509,/p/tx/austin/13800-lyndhurst-st-234-austin-tx-78717--2352816938
1510,/p/tx/austin/5012-duval-st-203-austin-tx-78751--2427056246
1511,/p/tx/austin/2320-gracy-farms-ln-926-austin-tx-78758--2072302891
1512,/p/tx/austin/8888-tallwood-dr-2313-austin-tx-78759--2072314890
1513,/p/tx/austin/6000-shepherd-mountain-cv-1705-austin-tx-78730--2172811520
1514,/p/tx/austin/2425-ashdale-dr-61-austin-tx-78757--2072292538
1515,/p/tx/austin/6000-shepherd-mountain-cv-2211-austin-tx-78730--2181545755
1516,/p/tx/austin/3744-valley-view-rd-b-austin-tx-78704--2072097377
1517,/p/tx/austin/1701-e-martin-luther-king-jr-blvd-209-austin-tx-78702--2484781518
1518,/p/tx/austin/6032-rincon-st-austin-tx-78747--2465449490
1519,/p/tx/austin/1506-eva-st-austin-tx-78704--1002058454
1520,/p/tx/austin/5616-s-1st-st-12-austin-tx-78745--2110349100
1521,/p/tx/austin/500-e-riverside-dr-202-austin-tx-78704--2110337465
1522,/p/tx/austin/1901-e-16th-st-austin-tx-78702--1004473019
1523,/p/tx/austin/14815-avery-ranch-blvd-2002-austin-tx-78717--2072104085
1524,/p/tx/austin/711-w-26th-st-600-austin-tx-78705--2110339872
1525,/p/tx/austin/6000-shepherd-mountain-cv-2201-austin-tx-78730--2181545749
1526,/p/tx/austin/7011-woodhue-dr-a-austin-tx-78745--2174232211
1527,/p/tx/austin/1407-sanchez-st-austin-tx-78702--2072079605
1528,/p/tx/austin/6810-deatonhill-dr-1101-austin-tx-78745--2072223721
1529,/p/tx/austin/5313-indio-dr-a-austin-tx-78745--2283086051
1530,/p/tx/austin/14815-avery-ranch-blvd-21c-austin-tx-78717--2504301534
1531,/p/tx/austin/1510-rockdale-cir-austin-tx-78704--1121067418
1532,/p/tx/austin/8406-garcreek-cir-d-austin-tx-78724--2171839136
1533,/p/tx/austin/1500-e-side-dr-101-b-austin-tx-78704--2121194971
1534,/p/tx/austin/1009-w-25th-st-a-austin-tx-78705--2197190017
1535,/p/tx/austin/1804-capital-pkwy-23-austin-tx-78746--2072229623
1536,/p/tx/austin/2414-longview-st-303-austin-tx-78705--2072099510
1537,/p/tx/austin/2215-post-rd-1082-austin-tx-78704--2072094396
1538,/p/tx/austin/4307-s-1st-st-111-austin-tx-78745--2110348555
1539,/p/tx/austin/2409-leon-st-207-austin-tx-78705--2072099465
1540,/p/tx/austin/1231-e-38th-1-2-st-121-austin-tx-78722--2499049665
1541,/p/tx/austin/313-w-elizabeth-st-b-austin-tx-78704--2171822139
1542,/p/tx/austin/2204-e-13th-st-austin-tx-78702--2110331282
1543,/p/tx/austin/711-jewell-st-b-austin-tx-78704--2364288510
1544,/p/tx/austin/2915-beanna-st-austin-tx-78705--2072100431
1545,/p/tx/austin/2122-hancock-dr-112-austin-tx-78756--2072287454
1546,/p/tx/austin/2110-rio-grande-st-303-austin-tx-78705--2072099105
1547,/p/tx/austin/10710-d-k-ranch-rd-austin-tx-78759--2072305926
1548,/p/tx/austin/3805-southridge-dr-a-austin-tx-78704--2229469223
1549,/p/tx/austin/12323-tomanet-trl-austin-tx-78758--2072300945
1550,/p/tx/austin/4401-speedway-107-austin-tx-78751--2072271435
1551,/p/tx/austin/1111-w-nueces-st-2b-austin-tx-78701--2498762838
1552,/p/tx/austin/address-not-disclosed-austin-tx-78704--2110338052
1553,/p/tx/austin/6916-scenic-brook-dr-a-austin-tx-78736--2503678025
1554,/p/tx/austin/603-davis-st-910-austin-tx-78701--2476205419
1555,/p/tx/austin/1902-albury-cv-d-austin-tx-78758--2370601372
1556,/p/tx/austin/4501-whispering-valley-dr-30-austin-tx-78727--2072136644
1557,/p/tx/austin/1804-capital-pkwy-18-austin-tx-78746--2072229618
1558,/p/tx/austin/2208-indian-trl-b-austin-tx-78703--2229423751
1559,/p/tx/austin/6905-argonne-forest-cv-b-austin-tx-78759--2173198859
1560,/p/tx/austin/6211-mountain-shadows-dr-b-austin-tx-78735--2427069308
1561,/p/tx/austin/9203-kempler-dr-b-austin-tx-78748--2172286674
1562,/p/tx/austin/2601-del-curto-rd-106-austin-tx-78704--2072095448
1563,/p/tx/austin/3001-cedar-st-a-217-austin-tx-78705--2122626465
1564,/p/tx/austin/2124-burton-dr-263-austin-tx-78741--2072200402
1565,/p/tx/austin/3815-manchaca-rd-38-austin-tx-78704--2072097539
1566,/p/tx/austin/2910-medical-arts-st-austin-tx-78705--2072100398
1567,/p/tx/austin/908-poplar-st-204-austin-tx-78705--2072101685
1568,/p/tx/austin/407-w-elizabeth-st-a-austin-tx-78704--2110337322
1569,/p/tx/austin/2910-medical-arts-st-205-austin-tx-78705--2501440921
1570,/p/tx/austin/5500-ponciana-dr-a-austin-tx-78744--2173013921
1571,/p/tx/austin/1122-hollow-creek-dr-1-austin-tx-78704--2072089683
1572,/p/tx/austin/808-w-29th-st-305-austin-tx-78705--2110340187
1573,/p/tx/austin/704-w-21st-st-301-austin-tx-78705--2110339725
1574,/p/tx/austin/614-w-north-loop-blvd-614d-austin-tx-78751--2110353284
1575,/p/tx/austin/706-w-24th-st-201-austin-tx-78705--2110339761
1576,/p/tx/austin/9615-aberdeen-way-b-austin-tx-78753--2182605553
1577,/p/tx/austin/2214-e-cesar-chavez-st-austin-tx-78702--1121619601
1578,/p/tx/austin/12813-magnolia-mound-trl-austin-tx-78727--2072133159
1579,/p/tx/austin/1801-barton-pkwy-austin-tx-78704--2072092295
1580,/p/tx/austin/11249-lost-maples-trl-austin-tx-78748--1045643367
1581,/p/tx/austin/700-s-1st-st-307-austin-tx-78704--2110337855
1582,/p/tx/austin/5303-indio-cv-d-austin-tx-78745--2183939357
1583,/p/tx/austin/address-not-disclosed-austin-tx-78751--2286756523
1584,/p/tx/austin/935-la-posada-dr-153-austin-tx-78752--2329783997
1585,/p/tx/austin/6521-quinton-dr-austin-tx-78747--1150604334
1586,/p/tx/austin/4521-ruiz-st-austin-tx-78723--2072117406
1587,/p/tx/austin/14002-alloro-dr-austin-tx-78717--2345662304
1588,/p/tx/austin/11821-bittern-holw-15-austin-tx-78758--2072299644
